Code,Date,Volume,Open,Close,High,Low,Open_MA_5,Open_MA_25,Open_MA_75
2120,2016-07-21,485800.0,998.0,1010.0,1019.0,993.0,963.4,944.84,1109.36
2120,2016-07-22,520400.0,986.0,1003.0,1012.0,981.0,967.6,944.36,1103.8
2120,2016-07-25,532700.0,1011.0,991.0,1016.0,985.0,983.2,945.76,1100.0133333333333
2120,2016-07-26,552300.0,976.0,959.0,985.0,946.0,988.8,947.04,1095.84
2120,2016-07-27,437000.0,968.0,988.0,993.0,960.0,987.8,947.76,1092.8666666666666
2120,2016-07-28,322700.0,960.0,951.0,968.0,948.0,980.2,949.16,1089.9333333333334
2120,2016-07-29,467200.0,941.0,1001.0,1005.0,938.0,971.2,949.88,1086.8133333333333
2120,2016-08-01,253900.0,965.0,976.0,989.0,963.0,962.0,951.72,1083.44
2120,2016-08-02,235000.0,968.0,965.0,980.0,963.0,960.4,955.48,1080.48
2120,2016-08-03,528500.0,944.0,931.0,949.0,918.0,955.6,958.04,1077.4533333333334
2120,2016-08-04,436100.0,928.0,935.0,951.0,917.0,949.2,958.36,1073.92
2120,2016-08-05,925500.0,947.0,967.0,1032.0,941.0,950.4,958.24,1070.6266666666668
2120,2016-08-08,424400.0,982.0,969.0,995.0,946.0,953.8,961.2,1068.3466666666666
2120,2016-08-09,344100.0,962.0,999.0,999.0,960.0,952.6,960.64,1065.24
2120,2016-08-10,529800.0,999.0,1020.0,1042.0,999.0,963.6,959.4,1061.9866666666667
2120,2016-08-12,1389600.0,1045.0,989.0,1078.0,983.0,987.0,962.56,1058.6
2120,2016-08-15,758000.0,974.0,930.0,976.0,927.0,992.4,963.6,1054.3866666666668
2120,2016-08-16,509000.0,933.0,917.0,935.0,907.0,982.6,964.76,1049.2266666666667
2120,2016-08-17,973600.0,902.0,852.0,909.0,848.0,970.6,964.56,1044.8
2120,2016-08-18,2018200.0,830.0,791.0,832.0,785.0,936.8,960.56,1039.5733333333333
