epoch,acc,loss,lr,val_acc,val_loss
0,0.5989477927990646,1.6359693978489869,0.01,0.5066162606944209,1.6218892899262658
1,0.7539457726073333,1.5833217327723084,0.01,0.7277882797731569,1.575992773295801
2,0.8077701348276188,1.5388161851924618,0.01,0.8544423476509426,1.521000096387809
3,0.8336705816076719,1.4894222481344355,0.01,0.7977315653925356,1.4986166054900518
4,0.8482395768503291,1.4427081430937683,0.01,0.7731568944026032,1.4556207303063404
5,0.8619991919619021,1.3962068239815657,0.01,0.8393194779105808,1.402425365997848
6,0.8664508302025542,1.3560327820235638,0.01,0.8147448051178613,1.3903860128669523
7,0.8741400268144426,1.3244665867401395,0.01,0.8563327050163976,1.3489902492732317
8,0.8773775808196568,1.2949423607618207,0.01,0.831758035829252,1.3519592546560364
