date,feature_1,1_open_tomorrow,1_open_2tomorrow
2008-01-29,1,13500.5,13227.5
2008-01-30,1,13227.5,13517.7
2008-01-31,1,13517.7,13642.6
2008-02-01,1,13642.6,13806.2
2008-02-04,1,13806.2,13548.5
2008-02-05,1,13548.5,13077.2
2008-02-06,1,13077.2,13143.1
2008-02-07,1,13143.1,12998.9
2008-02-08,1,12998.9,13163.0
2008-02-12,1,13163.0,13254.6
2008-02-13,1,13254.6,13508.5
2008-02-14,1,13508.5,13627.3
2008-02-15,1,13627.3,13761.8
2008-02-18,1,13761.8,13729.8
2008-02-19,1,13729.8,13462.7
2008-02-20,1,13462.7,13530.2
2008-02-21,1,13530.2,13612.3
2008-02-22,1,13612.3,14036.9
2008-02-25,1,14036.9,14007.3
2008-02-26,1,14007.3,13877.9
2008-02-27,1,13877.9,13735.4
2008-02-28,1,13735.4,13412.9
2008-02-29,1,13412.9,13080.3
2008-03-03,1,13080.3,12973.0
2008-03-04,1,12973.0,13068.9
2008-03-05,1,13068.9,13024.6
2008-03-06,1,13024.6,12716.8
2008-03-07,1,12716.8,12392.3
2008-03-10,1,12392.3,12841.9
2008-03-11,1,12841.9,12741.3
2008-03-12,1,12741.3,12509.8
2008-03-13,1,12509.8,12089.0
2008-03-14,1,12089.0,11829.0
2008-03-17,1,11829.0,12142.3
2008-03-18,1,12142.3,12331.6
2008-03-19,1,12331.6,12473.1
2008-03-21,1,12473.1,12639.7
2008-03-24,1,12639.7,12649.0
2008-03-25,1,12649.0,12618.4
2008-03-26,1,12618.4,12594.3
2008-03-27,1,12594.3,12709.3
2008-03-28,1,12709.3,12539.8
2008-03-31,1,12539.8,12836.4
2008-04-01,1,12836.4,13190.2
2008-04-02,1,13190.2,13286.3
2008-04-03,1,13286.3,13240.6
2008-04-04,1,13240.6,13374.0
2008-04-07,1,13374.0,13295.2
2008-04-08,1,13295.2,13029.8
2008-04-09,1,13029.8,13061.8
2008-04-10,1,13061.8,13132.7
2008-04-11,1,13132.7,12952.7
2008-04-14,1,12952.7,13130.7
2008-04-15,1,13130.7,13315.8
2008-04-16,1,13315.8,13426.3
2008-04-17,1,13426.3,13639.8
2008-04-18,1,13639.8,13587.5
2008-04-21,1,13587.5,13455.6
2008-04-22,1,13455.6,13613.8
2008-04-23,1,13613.8,13614.5
2008-04-24,1,13614.5,13908.0
2008-04-25,1,13908.0,13802.9
2008-04-28,1,13802.9,13802.6
2008-04-30,1,13802.6,13944.3
2008-05-01,1,13944.3,14147.6
2008-05-02,1,14147.6,14008.2
2008-05-07,1,14008.2,13941.3
2008-05-08,1,13941.3,13565.9
2008-05-09,1,13565.9,13814.4
2008-05-12,1,13814.4,13962.0
2008-05-13,1,13962.0,14167.0
2008-05-14,1,14167.0,14363.6
2008-05-15,1,14363.6,14294.5
2008-05-16,1,14294.5,14220.1
2008-05-19,1,14220.1,14002.5
2008-05-20,1,14002.5,13772.7
2008-05-21,1,13772.7,13945.1
2008-05-22,1,13945.1,13876.0
2008-05-23,1,13876.0,13750.8
2008-05-26,1,13750.8,13937.1
2008-05-27,1,13937.1,13832.7
2008-05-28,1,13832.7,14195.7
2008-05-29,1,14195.7,14343.0
2008-05-30,1,14343.0,14275.6
2008-06-02,1,14275.6,14270.1
2008-06-03,1,14270.1,14392.6
